player_id,name,team,position_id,total_points
1,Raya,ARS,1,6
2,Arrizabalaga,ARS,1,0
3,Meslier,ARS,1,0
4,Gabriel,ARS,2,8
5,J.Timber,ARS,2,0
6,Saliba,ARS,2,0
7,Lewis-Skelly,ARS,3,3
8,Calafiori,ARS,2,11
9,Hincapie,ARS,2,0
10,White,ARS,2,7
11,Mosquera,ARS,2,6
12,Saka,ARS,3,11
13,Rice,ARS,3,5
14,Eze,ARS,3,1
15,Ødegaard,ARS,3,3
16,Madueke,ARS,3,0
17,Merino,ARS,3,1
18,Martinelli,ARS,3,0
19,Zubimendi,ARS,3,1
20,Dowman,ARS,3,0
21,Nørgaard,EVE,3,0
22,Nwaneri,ARS,3,0
23,Fábio Vieira,ARS,3,0
24,Nelson,ARS,3,0
25,Gyökeres,ARS,4,0
26,Havertz,ARS,4,2
27,G.Jesus,ARS,4,0
28,Martinez,CHE,1,2
29,M.Bizot,AVL,1,0
30,Digne,AVL,2,0
31,Konsa,ARS,2,1
32,Cash,AVL,2,2
33,Mings,AVL,2,0
34,Pau,AVL,2,2
35,Bogarde,AVL,3,0
36,Maatsen,AVL,2,1
37,Lindelöf,AVL,2,2
38,A.García,AVL,2,0
39,Nedeljkovic,AVL,2,0
40,Rogers,CHE,3,5
41,Buendía,AVL,3,2
42,Guessand,CRY,3,1
43,Tielemans,MUN,3,4
44,Bailey,AVL,3,0
45,McGinn,AVL,3,1
46,Barkley,AVL,3,2
47,Kamara,AVL,3,2
48,Onana,AVL,3,0
49,Iling Jr,AVL,3,0
50,Burrowes,AVL,3,0
51,George Hemmings,AVL,3,2
52,Alysson,AVL,3,0
53,Manzambi,AVL,3,0
54,Gomes,AVL,3,0
55,Watkins,AVL,4,0
56,Abraham,AVL,4,1
57,Petrović,BOU,1,3
58,Forster,BOU,1,0
59,Dennis,BOU,1,0
60,Hill,BOU,2,4
61,Truffert,BOU,2,4
62,Diakité,BOU,2,0
63,Milosavljević,BOU,2,0
64,Smith,BOU,2,1
65,J.Araujo,BOU,2,0
66,Soler,BOU,2,0
67,Rayan,BOU,3,2
68,Tavernier,BOU,3,1
69,Scott,BOU,3,12
70,Kluivert,BOU,3,3
71,Cook,BOU,3,3
72,Gannon-Doak,BOU,3,0
73,Adams,BOU,3,1
74,Brooks,BOU,3,1
75,Christie,BOU,3,1
76,Tóth.A,BOU,3,0
77,Adli,BOU,3,0
78,Kroupi.Jr,BOU,3,0
79,Evanilson,BOU,4,5
80,Enes Ünal,BOU,4,0
81,Rodríguez,BOU,4,1
82,Kelleher,BRE,1,2
83,Valdimarsson,BRE,1,0
84,Collins,BRE,2,3
85,Van den Berg,BRE,2,0
86,Lewis-Potter,BRE,3,6
87,Ajer,BRE,2,3
88,Kayode,BRE,2,2
89,Henry,BRE,2,1
90,Hickey,BRE,2,1
91,Pinnock,COV,2,1
92,Ji-soo,BRE,2,0
93,Schuster,BRE,2,0
94,Schade,BRE,3,10
95,O.Dango,BRE,3,1
96,Damsgaard,BRE,3,3
97,Jensen,BRE,3,0
98,Janelt,BRE,3,1
99,Milambo,BRE,3,0
100,Carvalho,BRE,3,0
101,Henderson,CHE,3,0
102,Yarmoliuk,BRE,3,1
103,Dasilva,BRE,3,0
104,Onyeka,COV,3,0
105,Anthony,BRE,3,2
106,Thiago,BRE,4,2
107,Furo,BRE,4,0
108,Wilson,BRE,4,1
109,Verbruggen,BHA,1,0
110,Rushworth,COV,1,2
111,Steele,BHA,1,0
112,Van Hecke,TOT,2,1
113,F.Kadıoğlu,BHA,2,0
114,Boscagli,BHA,2,-1
115,De Cuyper,BHA,2,0
116,Dunk,BHA,2,-1
117,Coppola,BHA,2,0
118,Igor,BHA,2,0
119,Costinha,BHA,2,0
120,Svoboda,BHA,2,0
121,Mitoma,BHA,3,0
122,Minteh,BHA,3,0
123,Hinshelwood,BHA,3,0
124,Groß,BHA,3,13
125,Georginio,BHA,4,0
126,O'Riley,BHA,3,0
127,Gomez,BHA,3,5
128,Buonanotte,BHA,3,0
129,Ayari,BHA,3,0
130,Wieffer,BHA,2,0
131,Baleba,MUN,3,0
132,Howell,BHA,3,0
133,Watson,BHA,3,0
134,Oriola,BHA,3,0
135,Yohanna,BHA,3,0
136,Welbeck,CHE,4,0
137,Tzimas,BHA,4,0
138,Kostoulas,BHA,4,5
139,Ferguson,BHA,4,0
140,Sánchez,CHE,1,0
141,Jörgensen,CHE,1,0
142,James,CHE,2,1
143,Chalobah,CHE,2,0
144,Gusto,CHE,2,1
145,Fofana,CHE,2,0
146,B.Badiashile,CHE,2,0
147,Tosin,TOT,2,0
148,Hato,CHE,2,4
149,Colwill,CHE,2,1
150,M.Sarr,CHE,2,0
151,Acheampong,CHE,2,1
152,Palestra,CHE,2,0
153,Disasi,CRY,2,1
154,Palmer,CHE,3,7
155,Enzo,MCI,3,0
156,Neto,CHE,3,7
157,Estêvão,CHE,3,0
158,Gittens,CHE,3,0
159,Caicedo,CHE,3,1
160,Garnacho,AVL,3,1
161,Lavia,CHE,3,7
162,Andrey Santos,MUN,3,1
163,D.Essugo,CHE,3,0
164,Quenda,CHE,3,0
165,João Pedro,CHE,4,9
166,N.Jackson,AVL,4,2
167,Delap,NFO,4,1
168,Marc Guiu,CHE,4,0
169,Mheuka,CHE,4,0
170,Emegha,CHE,4,0
171,Dovin,COV,1,0
172,Wilson,COV,1,0
173,Thomas,COV,2,8
174,Kitching,COV,2,0
175,van Ewijk,COV,2,2
176,Dasilva,COV,2,2
177,Kesler-Hayden,COV,2,0
178,Bidwell,COV,2,0
179,Latibeaudiere,COV,2,0
180,Woolfenden,COV,2,0
181,Brau,COV,2,0
182,Amenda,COV,2,1
183,Rudoni,COV,3,3
184,Grimes,COV,3,2
185,Sakamoto,COV,3,1
186,Mason-Clark,COV,3,1
187,Eccles,COV,3,0
188,Torp,COV,3,1
189,Shepherd,COV,3,0
190,Tchaouna,COV,3,1
191,Borges Rodrigues,COV,3,0
192,Andrews,COV,3,0
193,Wright,COV,4,0
194,Thomas-Asante,COV,4,1
195,Simms,COV,4,0
196,Markelo,COV,4,0
197,Bassette,COV,4,0
198,Henderson,CRY,1,1
199,Benitez,CRY,1,0
200,Lacroix,CHE,2,1
201,Muñoz,NFO,2,0
202,Richards,CRY,2,0
203,Canvot,CRY,2,0
204,Mitchell,CRY,2,0
205,Sosa,CRY,2,0
206,Chadi Riad,CRY,2,0
207,Mingueza,CRY,2,1
208,Sarr,CRY,3,0
209,Johnson,EVE,3,1
210,Wharton,CRY,3,2
211,Yeremy,CRY,3,5
212,Hughes,CRY,3,0
213,Lerma,CRY,3,0
214,Kamada,CRY,3,2
215,Devenny,CRY,3,0
216,Esse,CRY,3,0
217,M.França,CRY,3,0
218,Doucouré,CRY,3,0
219,J.Rak-Sakyi,CRY,3,0
220,Cardines,CRY,2,0
221,Drakes-Thomas,CRY,3,0
222,Strand Larsen,CRY,4,2
223,Mateta,CRY,4,0
224,Nketiah,CRY,4,2
225,Uche,CRY,4,0
226,Pickford,EVE,1,3
227,Travers,EVE,1,0
228,King,EVE,1,0
229,Tarkowski,EVE,2,12
230,Branthwaite,EVE,2,4
231,Keane,EVE,2,0
232,O'Brien,EVE,2,0
233,Mykolenko,EVE,2,4
234,Patterson,EVE,2,0
235,Aznou,EVE,2,0
236,Dewsbury-Hall,EVE,3,2
237,Ndiaye,MCI,3,4
238,Grealish,EVE,3,0
239,Garner,EVE,3,1
240,Iroegbunam,HUL,3,1
241,McNeil,CRY,3,1
242,George,EVE,3,2
243,Alcaraz,EVE,3,0
244,Armstrong,EVE,3,2
245,Dibling,EVE,3,0
246,Röhl,EVE,3,2
247,Hackney,EVE,3,1
248,Beto,EVE,4,1
249,Barry,EVE,4,2
250,Leno,FUL,1,3
251,Lecomte,FUL,1,0
252,McNally,FUL,1,0
253,Andersen,FUL,2,1
254,Robinson,FUL,2,2
255,J.Cuenca,FUL,2,0
256,Tete,FUL,2,0
257,Bassey,FUL,2,2
258,Castagne,FUL,2,6
259,Diop,IPS,2,2
260,Wilson,LEE,3,1
261,Iwobi,FUL,3,2
262,Smith Rowe,FUL,3,1
263,Kevin,FUL,3,1
264,Bobb,FUL,3,3
265,Berge,FUL,3,2
266,Cairney,FUL,3,0
267,Lukić,IPS,3,1
268,King,FUL,3,2
269,Sessegnon,FUL,2,1
270,Reed,FUL,3,0
271,Muniz,FUL,4,0
272,Kusi-Asare,FUL,4,0
273,Phillips,HUL,1,0
274,Butland,HUL,1,0
275,Cartwright,HUL,1,0
276,Lo-Tutala,HUL,1,0
277,Egan,HUL,2,9
278,Hughes,HUL,2,0
279,Ajayi,HUL,2,6
280,Coyle,HUL,2,0
281,Drameh,HUL,2,1
282,Giles,HUL,2,6
283,Jacob,HUL,2,0
284,McCarthy,HUL,2,0
285,McNair,HUL,2,0
286,Belloumi,HUL,3,6
287,Millar,HUL,3,6
288,Dowell,HUL,3,0
289,Crooks,HUL,3,0
290,Slater,HUL,3,2
291,Matazo,HUL,3,0
292,Ömür,HUL,3,0
293,Kamara,HUL,3,0
294,Zambrano,HUL,3,0
