name,position,team,element,team_id,position_id,GW,value,minutes,goals_scored,assists,clean_sheets,goals_conceded,saves,bps,bonus,yellow_cards,red_cards,penalties_saved,penalties_missed,total_points,was_home,opponent_team,fixture_id,team_h_score,team_a_score,kickoff_time,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away
Raya,GKP,ARS,1,1,1,15,60,90,0,0,0,2,4,13,0,0,0,0,0,2,,,141,2,1,2025-12-06T12:30:00Z,1300,1375,1340,1400,1260,1350
Arrizabalaga,GKP,ARS,2,1,1,15,41,0,0,0,0,0,0,0,0,0,0,0,0,0,,,141,2,1,2025-12-06T12:30:00Z,1300,1375,1340,1400,1260,1350
Hein,GKP,ARS,3,1,1,15,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,141,2,1,2025-12-06T12:30:00Z,1300,1375,1340,1400,1260,1350
Setford,GKP,ARS,4,1,1,15,39,0,0,0,0,0,0,0,0,0,0,0,0,0,,,141,2,1,2025-12-06T12:30:00Z,1300,1375,1340,1400,1260,1350
Gabriel,DEF,ARS,5,1,2,15,62,0,0,0,0,0,0,0,0,0,0,0,0,0,,,141,2,1,2025-12-06T12:30:00Z,1300,1375,1340,1400,1260,1350
Saliba,DEF,ARS,6,1,2,15,59,0,0,0,0,0,0,0,0,0,0,0,0,0,,,141,2,1,2025-12-06T12:30:00Z,1300,1375,1340,1400,1260,1350
Calafiori,DEF,ARS,7,1,2,15,57,85,0,0,0,1,0,2,0,1,0,0,0,1,,,141,2,1,2025-12-06T12:30:00Z,1300,1375,1340,1400,1260,1350
J.Timber,DEF,ARS,8,1,2,15,65,90,0,0,0,2,0,7,0,0,0,0,0,3,,,141,2,1,2025-12-06T12:30:00Z,1300,1375,1340,1400,1260,1350
Kiwior,DEF,ARS,9,1,2,15,54,0,0,0,0,0,0,0,0,0,0,0,0,0,,,141,2,1,2025-12-06T12:30:00Z,1300,1375,1340,1400,1260,1350
Lewis-Skelly,DEF,ARS,10,1,2,15,51,4,0,0,0,1,0,-1,0,0,0,0,0,1,,,141,2,1,2025-12-06T12:30:00Z,1300,1375,1340,1400,1260,1350
White,DEF,ARS,11,1,2,15,52,90,0,0,0,2,0,18,0,0,0,0,0,1,,,141,2,1,2025-12-06T12:30:00Z,1300,1375,1340,1400,1260,1350
Zinchenko,DEF,NFO,12,16,2,15,49,0,0,0,0,0,0,0,0,0,0,0,0,0,,,144,3,0,2025-12-06T15:00:00Z,1100,1130,1100,1110,1100,1150
Clarke,DEF,ARS,13,1,2,15,38,0,0,0,0,0,0,0,0,0,0,0,0,0,,,141,2,1,2025-12-06T12:30:00Z,1300,1375,1340,1400,1260,1350
Kacurri,DEF,ARS,14,1,2,15,39,0,0,0,0,0,0,0,0,0,0,0,0,0,,,141,2,1,2025-12-06T12:30:00Z,1300,1375,1340,1400,1260,1350
Nichols,DEF,ARS,15,1,2,15,38,0,0,0,0,0,0,0,0,0,0,0,0,0,,,141,2,1,2025-12-06T12:30:00Z,1300,1375,1340,1400,1260,1350
Saka,MID,ARS,16,1,3,15,103,78,0,1,0,1,0,18,0,1,0,0,0,4,,,141,2,1,2025-12-06T12:30:00Z,1300,1375,1340,1400,1260,1350
Ødegaard,MID,ARS,17,1,3,15,78,90,0,0,0,2,0,21,0,0,0,0,0,2,,,141,2,1,2025-12-06T12:30:00Z,1300,1375,1340,1400,1260,1350
Madueke,MID,ARS,18,1,3,15,68,11,0,0,0,1,0,3,0,0,0,0,0,1,,,141,2,1,2025-12-06T12:30:00Z,1300,1375,1340,1400,1260,1350
Martinelli,MID,ARS,19,1,3,15,68,4,0,0,0,1,0,2,0,0,0,0,0,1,,,141,2,1,2025-12-06T12:30:00Z,1300,1375,1340,1400,1260,1350
Trossard,MID,ARS,20,1,3,15,69,40,1,0,0,0,0,23,0,0,0,0,0,6,,,141,2,1,2025-12-06T12:30:00Z,1300,1375,1340,1400,1260,1350
Rice,MID,ARS,21,1,3,15,72,90,0,0,0,2,0,30,2,0,0,0,0,6,,,141,2,1,2025-12-06T12:30:00Z,1300,1375,1340,1400,1260,1350
Merino,MID,ARS,22,1,3,15,59,45,0,0,0,1,0,4,0,0,0,0,0,1,,,141,2,1,2025-12-06T12:30:00Z,1300,1375,1340,1400,1260,1350
Fábio Vieira,MID,ARS,23,1,3,15,54,0,0,0,0,0,0,0,0,0,0,0,0,0,,,141,2,1,2025-12-06T12:30:00Z,1300,1375,1340,1400,1260,1350
Nørgaard,MID,ARS,24,1,3,15,52,0,0,0,0,0,0,0,0,0,0,0,0,0,,,141,2,1,2025-12-06T12:30:00Z,1300,1375,1340,1400,1260,1350
Nwaneri,MID,ARS,25,1,3,15,51,0,0,0,0,0,0,0,0,0,0,0,0,0,,,141,2,1,2025-12-06T12:30:00Z,1300,1375,1340,1400,1260,1350
Zubimendi,MID,ARS,26,1,3,15,52,90,0,0,0,2,0,14,0,0,0,0,0,2,,,141,2,1,2025-12-06T12:30:00Z,1300,1375,1340,1400,1260,1350
Nelson,MID,BRE,27,5,3,15,48,0,0,0,0,0,0,0,0,0,0,0,0,0,,,149,2,0,2025-12-06T15:00:00Z,1135,1175,1100,1110,1170,1240
Kabia,MID,ARS,28,1,3,15,45,0,0,0,0,0,0,0,0,0,0,0,0,0,,,141,2,1,2025-12-06T12:30:00Z,1300,1375,1340,1400,1260,1350
Sambi,MID,ARS,29,1,3,15,45,0,0,0,0,0,0,0,0,0,0,0,0,0,,,141,2,1,2025-12-06T12:30:00Z,1300,1375,1340,1400,1260,1350
Havertz,FWD,ARS,30,1,4,15,73,0,0,0,0,0,0,0,0,0,0,0,0,0,,,141,2,1,2025-12-06T12:30:00Z,1300,1375,1340,1400,1260,1350
G.Jesus,FWD,ARS,31,1,4,15,64,0,0,0,0,0,0,0,0,0,0,0,0,0,,,141,2,1,2025-12-06T12:30:00Z,1300,1375,1340,1400,1260,1350
Martinez,GKP,AVL,32,2,1,15,50,90,0,0,0,1,7,21,0,0,0,0,0,4,,,141,2,1,2025-12-06T12:30:00Z,1145,1185,1150,1170,1140,1200
M.Bizot,GKP,AVL,33,2,1,15,42,0,0,0,0,0,0,0,0,0,0,0,0,0,,,141,2,1,2025-12-06T12:30:00Z,1145,1185,1150,1170,1140,1200
Gauci,GKP,AVL,34,2,1,15,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,141,2,1,2025-12-06T12:30:00Z,1145,1185,1150,1170,1140,1200
Marschall,GKP,AVL,35,2,1,15,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,141,2,1,2025-12-06T12:30:00Z,1145,1185,1150,1170,1140,1200
Cash,DEF,AVL,36,2,2,15,49,86,1,0,0,1,0,24,1,0,0,0,0,9,,,141,2,1,2025-12-06T12:30:00Z,1145,1185,1150,1170,1140,1200
Digne,DEF,AVL,37,2,2,15,45,0,0,0,0,0,0,0,0,0,0,0,0,0,,,141,2,1,2025-12-06T12:30:00Z,1145,1185,1150,1170,1140,1200
Konsa,DEF,AVL,38,2,2,15,44,90,0,0,0,1,0,11,0,0,0,0,0,2,,,141,2,1,2025-12-06T12:30:00Z,1145,1185,1150,1170,1140,1200
Maatsen,DEF,AVL,39,2,2,15,42,90,0,0,0,1,0,7,0,0,0,0,0,2,,,141,2,1,2025-12-06T12:30:00Z,1145,1185,1150,1170,1140,1200
Mings,DEF,AVL,40,2,2,15,43,0,0,0,0,0,0,0,0,0,0,0,0,0,,,141,2,1,2025-12-06T12:30:00Z,1145,1185,1150,1170,1140,1200
Pau,DEF,AVL,41,2,2,15,43,85,0,1,0,1,0,17,0,0,0,0,0,5,,,141,2,1,2025-12-06T12:30:00Z,1145,1185,1150,1170,1140,1200
A.García,DEF,AVL,42,2,2,15,39,0,0,0,0,0,0,0,0,0,0,0,0,0,,,141,2,1,2025-12-06T12:30:00Z,1145,1185,1150,1170,1140,1200
Alex Moreno,DEF,AVL,43,2,2,15,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,141,2,1,2025-12-06T12:30:00Z,1145,1185,1150,1170,1140,1200
Bogarde,DEF,AVL,44,2,2,15,40,15,0,0,0,0,0,3,0,0,0,0,0,1,,,141,2,1,2025-12-06T12:30:00Z,1145,1185,1150,1170,1140,1200
Sousa,DEF,AVL,45,2,2,15,39,0,0,0,0,0,0,0,0,0,0,0,0,0,,,141,2,1,2025-12-06T12:30:00Z,1145,1185,1150,1170,1140,1200
Yasin,DEF,AVL,46,2,2,15,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,141,2,1,2025-12-06T12:30:00Z,1145,1185,1150,1170,1140,1200
Rogers,MID,AVL,47,2,3,15,73,90,0,0,0,1,0,12,0,0,0,0,0,2,,,141,2,1,2025-12-06T12:30:00Z,1145,1185,1150,1170,1140,1200
Tielemans,MID,AVL,48,2,3,15,59,90,0,0,0,1,0,13,0,0,0,0,0,2,,,141,2,1,2025-12-06T12:30:00Z,1145,1185,1150,1170,1140,1200
Bailey,MID,AVL,49,2,3,15,55,0,0,0,0,0,0,0,0,0,0,0,0,0,,,141,2,1,2025-12-06T12:30:00Z,1145,1185,1150,1170,1140,1200
Buendía,MID,AVL,50,2,3,15,53,3,1,0,0,0,0,22,0,0,0,0,0,6,,,141,2,1,2025-12-06T12:30:00Z,1145,1185,1150,1170,1140,1200
Iling Jr,MID,AVL,51,2,3,15,55,0,0,0,0,0,0,0,0,0,0,0,0,0,,,141,2,1,2025-12-06T12:30:00Z,1145,1185,1150,1170,1140,1200
J.Ramsey,MID,NEW,52,15,3,15,53,90,0,0,0,1,0,8,0,1,0,0,0,1,,,148,2,1,2025-12-06T15:00:00Z,1160,1220,1170,1180,1150,1260
Malen,MID,AVL,53,2,3,15,51,24,0,0,0,0,0,-3,0,0,0,0,0,1,,,141,2,1,2025-12-06T12:30:00Z,1145,1185,1150,1170,1140,1200
McGinn,MID,AVL,54,2,3,15,54,74,0,0,0,1,0,11,0,0,0,0,0,2,,,141,2,1,2025-12-06T12:30:00Z,1145,1185,1150,1170,1140,1200
Barkley,MID,AVL,55,2,3,15,48,0,0,0,0,0,0,0,0,0,0,0,0,0,,,141,2,1,2025-12-06T12:30:00Z,1145,1185,1150,1170,1140,1200
Barrenechea,MID,AVL,56,2,3,15,50,0,0,0,0,0,0,0,0,0,0,0,0,0,,,141,2,1,2025-12-06T12:30:00Z,1145,1185,1150,1170,1140,1200
Dobbin,MID,AVL,57,2,3,15,50,0,0,0,0,0,0,0,0,0,0,0,0,0,,,141,2,1,2025-12-06T12:30:00Z,1145,1185,1150,1170,1140,1200
Kamara,MID,AVL,58,2,3,15,49,90,0,1,0,1,0,37,3,0,0,0,0,10,,,141,2,1,2025-12-06T12:30:00Z,1145,1185,1150,1170,1140,1200
Onana,MID,AVL,59,2,3,15,48,74,0,0,0,1,0,5,0,0,0,0,0,2,,,141,2,1,2025-12-06T12:30:00Z,1145,1185,1150,1170,1140,1200
Broggio,MID,AVL,60,2,3,15,45,0,0,0,0,0,0,0,0,0,0,0,0,0,,,141,2,1,2025-12-06T12:30:00Z,1145,1185,1150,1170,1140,1200
Dendoncker,MID,AVL,61,2,3,15,45,0,0,0,0,0,0,0,0,0,0,0,0,0,,,141,2,1,2025-12-06T12:30:00Z,1145,1185,1150,1170,1140,1200
Jimoh-Aloba,MID,AVL,62,2,3,15,45,0,0,0,0,0,0,0,0,0,0,0,0,0,,,141,2,1,2025-12-06T12:30:00Z,1145,1185,1150,1170,1140,1200
Young,MID,AVL,63,2,3,15,43,0,0,0,0,0,0,0,0,0,0,0,0,0,,,141,2,1,2025-12-06T12:30:00Z,1145,1185,1150,1170,1140,1200
Watkins,FWD,AVL,64,2,4,15,85,65,0,0,0,1,0,8,0,0,0,0,0,2,,,141,2,1,2025-12-06T12:30:00Z,1145,1185,1150,1170,1140,1200
Redmond,FWD,AVL,65,2,4,15,45,0,0,0,0,0,0,0,0,0,0,0,0,0,,,141,2,1,2025-12-06T12:30:00Z,1145,1185,1150,1170,1140,1200
Neto,GKP,BOU,66,4,1,15,45,0,0,0,0,0,0,0,0,0,0,0,0,0,,,142,0,0,2025-12-06T15:00:00Z,1150,1220,1100,1240,1200,1200
Petrović,GKP,BOU,67,4,1,15,45,90,0,0,1,0,4,31,0,0,0,0,0,7,,,142,0,0,2025-12-06T15:00:00Z,1150,1220,1100,1240,1200,1200
Dennis,GKP,BOU,68,4,1,15,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,142,0,0,2025-12-06T15:00:00Z,1150,1220,1100,1240,1200,1200
McKenna,GKP,BOU,69,4,1,15,39,0,0,0,0,0,0,0,0,0,0,0,0,0,,,142,0,0,2025-12-06T15:00:00Z,1150,1220,1100,1240,1200,1200
Paulsen,GKP,BOU,70,4,1,15,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,142,0,0,2025-12-06T15:00:00Z,1150,1220,1100,1240,1200,1200
Zabarnyi,DEF,BOU,71,4,2,15,50,0,0,0,0,0,0,0,0,0,0,0,0,0,,,142,0,0,2025-12-06T15:00:00Z,1150,1220,1100,1240,1200,1200
Senesi,DEF,BOU,72,4,2,15,49,61,0,0,1,0,0,28,0,0,0,0,0,8,,,142,0,0,2025-12-06T15:00:00Z,1150,1220,1100,1240,1200,1200
Smith,DEF,BOU,73,4,2,15,44,90,0,0,1,0,0,23,0,0,0,0,0,6,,,142,0,0,2025-12-06T15:00:00Z,1150,1220,1100,1240,1200,1200
Truffert,DEF,BOU,74,4,2,15,45,90,0,0,1,0,0,31,0,0,0,0,0,6,,,142,0,0,2025-12-06T15:00:00Z,1150,1220,1100,1240,1200,1200
Akinmboni,DEF,BOU,75,4,2,15,38,0,0,0,0,0,0,0,0,0,0,0,0,0,,,142,0,0,2025-12-06T15:00:00Z,1150,1220,1100,1240,1200,1200
Bevan,DEF,BOU,76,4,2,15,39,0,0,0,0,0,0,0,0,0,0,0,0,0,,,142,0,0,2025-12-06T15:00:00Z,1150,1220,1100,1240,1200,1200
Hill,DEF,BOU,77,4,2,15,39,28,0,0,0,0,0,4,0,0,0,0,0,1,,,142,0,0,2025-12-06T15:00:00Z,1150,1220,1100,1240,1200,1200
J.Araujo,DEF,BOU,78,4,2,15,38,0,0,0,0,0,0,0,0,0,0,0,0,0,,,142,0,0,2025-12-06T15:00:00Z,1150,1220,1100,1240,1200,1200
Mepham,DEF,BOU,79,4,2,15,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,142,0,0,2025-12-06T15:00:00Z,1150,1220,1100,1240,1200,1200
Soler,DEF,BOU,80,4,2,15,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,142,0,0,2025-12-06T15:00:00Z,1150,1220,1100,1240,1200,1200
Kluivert,MID,BOU,81,4,3,15,70,73,0,0,1,0,0,7,0,0,0,0,0,3,,,142,0,0,2025-12-06T15:00:00Z,1150,1220,1100,1240,1200,1200
Semenyo,MID,BOU,82,4,3,15,77,90,0,0,1,0,0,14,0,0,0,0,0,3,,,142,0,0,2025-12-06T15:00:00Z,1150,1220,1100,1240,1200,1200
O.Dango,MID,BRE,83,5,3,15,59,87,0,0,0,2,0,15,0,0,0,0,0,4,,,149,2,0,2025-12-06T15:00:00Z,1135,1175,1100,1110,1170,1240
Tavernier,MID,BOU,84,4,3,15,56,90,0,0,1,0,0,15,0,0,0,0,0,5,,,142,0,0,2025-12-06T15:00:00Z,1150,1220,1100,1240,1200,1200
Adams,MID,BOU,85,4,3,15,50,0,0,0,0,0,0,0,0,0,0,0,0,0,,,142,0,0,2025-12-06T15:00:00Z,1150,1220,1100,1240,1200,1200
Brooks,MID,BOU,86,4,3,15,50,16,0,0,0,0,0,3,0,0,0,0,0,1,,,142,0,0,2025-12-06T15:00:00Z,1150,1220,1100,1240,1200,1200
Christie,MID,BOU,87,4,3,15,49,0,0,0,0,0,0,0,0,0,0,0,0,0,,,142,0,0,2025-12-06T15:00:00Z,1150,1220,1100,1240,1200,1200
Cook,MID,BOU,88,4,3,15,49,0,0,0,0,0,0,0,0,0,0,0,0,0,,,142,0,0,2025-12-06T15:00:00Z,1150,1220,1100,1240,1200,1200
Philip,MID,BOU,89,4,3,15,49,0,0,0,0,0,0,0,0,0,0,0,0,0,,,142,0,0,2025-12-06T15:00:00Z,1150,1220,1100,1240,1200,1200
Scott,MID,BOU,90,4,3,15,50,90,0,0,1,0,0,21,0,0,0,0,0,5,,,142,0,0,2025-12-06T15:00:00Z,1150,1220,1100,1240,1200,1200
Sinisterra,MID,BOU,91,4,3,15,50,0,0,0,0,0,0,0,0,0,0,0,0,0,,,142,0,0,2025-12-06T15:00:00Z,1150,1220,1100,1240,1200,1200
Faivre,MID,BOU,92,4,3,15,45,0,0,0,0,0,0,0,0,0,0,0,0,0,,,142,0,0,2025-12-06T15:00:00Z,1150,1220,1100,1240,1200,1200
H.Traorè,MID,BOU,93,4,3,15,45,0,0,0,0,0,0,0,0,0,0,0,0,0,,,142,0,0,2025-12-06T15:00:00Z,1150,1220,1100,1240,1200,1200
Sadi,MID,BOU,94,4,3,15,45,0,0,0,0,0,0,0,0,0,0,0,0,0,,,142,0,0,2025-12-06T15:00:00Z,1150,1220,1100,1240,1200,1200
Silcott-Duberry,MID,BOU,95,4,3,15,44,0,0,0,0,0,0,0,0,0,0,0,0,0,,,142,0,0,2025-12-06T15:00:00Z,1150,1220,1100,1240,1200,1200
Winterburn,MID,BOU,96,4,3,15,45,0,0,0,0,0,0,0,0,0,0,0,0,0,,,142,0,0,2025-12-06T15:00:00Z,1150,1220,1100,1240,1200,1200
Evanilson,FWD,BOU,97,4,4,15,70,86,0,0,1,0,0,-3,0,0,0,0,0,2,,,142,0,0,2025-12-06T15:00:00Z,1150,1220,1100,1240,1200,1200
Enes Ünal,FWD,BOU,98,4,4,15,54,3,0,0,0,0,0,1,0,0,0,0,0,1,,,142,0,0,2025-12-06T15:00:00Z,1150,1220,1100,1240,1200,1200
Adu-Adjei,FWD,BOU,99,4,4,15,44,0,0,0,0,0,0,0,0,0,0,0,0,0,,,142,0,0,2025-12-06T15:00:00Z,1150,1220,1100,1240,1200,1200
Kroupi.Jr,FWD,BOU,100,4,4,15,46,0,0,0,0,0,0,0,0,0,0,0,0,0,,,142,0,0,2025-12-06T15:00:00Z,1150,1220,1100,1240,1200,1200
Kelleher,GKP,BRE,101,5,1,15,45,90,0,0,0,2,5,14,0,0,0,0,0,2,,,149,2,0,2025-12-06T15:00:00Z,1135,1175,1100,1110,1170,1240
Balcombe,GKP,BRE,102,5,1,15,39,0,0,0,0,0,0,0,0,0,0,0,0,0,,,149,2,0,2025-12-06T15:00:00Z,1135,1175,1100,1110,1170,1240
Cox,GKP,BRE,103,5,1,15,39,0,0,0,0,0,0,0,0,0,0,0,0,0,,,149,2,0,2025-12-06T15:00:00Z,1135,1175,1100,1110,1170,1240
Eyestone,GKP,BRE,104,5,1,15,39,0,0,0,0,0,0,0,0,0,0,0,0,0,,,149,2,0,2025-12-06T15:00:00Z,1135,1175,1100,1110,1170,1240
Valdimarsson,GKP,BRE,105,5,1,15,39,0,0,0,0,0,0,0,0,0,0,0,0,0,,,149,2,0,2025-12-06T15:00:00Z,1135,1175,1100,1110,1170,1240
Collins,DEF,BRE,106,5,2,15,49,90,0,0,0,2,0,16,0,0,0,0,0,3,,,149,2,0,2025-12-06T15:00:00Z,1135,1175,1100,1110,1170,1240
Lewis-Potter,DEF,BRE,107,5,2,15,48,2,0,0,0,0,0,3,0,0,0,0,0,1,,,149,2,0,2025-12-06T15:00:00Z,1135,1175,1100,1110,1170,1240
Ajer,DEF,BRE,108,5,2,15,44,45,0,0,0,2,0,-7,0,1,0,0,0,-1,,,149,2,0,2025-12-06T15:00:00Z,1135,1175,1100,1110,1170,1240
Henry,DEF,BRE,109,5,2,15,43,45,0,0,0,0,0,4,0,0,0,0,0,1,,,149,2,0,2025-12-06T15:00:00Z,1135,1175,1100,1110,1170,1240
Kayode,DEF,BRE,110,5,2,15,45,75,0,0,0,2,0,11,0,1,0,0,0,0,,,149,2,0,2025-12-06T15:00:00Z,1135,1175,1100,1110,1170,1240
Pinnock,DEF,BRE,111,5,2,15,42,0,0,0,0,0,0,0,0,0,0,0,0,0,,,149,2,0,2025-12-06T15:00:00Z,1135,1175,1100,1110,1170,1240
Roerslev,DEF,BRE,112,5,2,15,45,0,0,0,0,0,0,0,0,0,0,0,0,0,,,149,2,0,2025-12-06T15:00:00Z,1135,1175,1100,1110,1170,1240
Van den Berg,DEF,BRE,113,5,2,15,45,90,0,0,0,2,0,3,0,0,0,0,0,1,,,149,2,0,2025-12-06T15:00:00Z,1135,1175,1100,1110,1170,1240
Arthur,DEF,BRE,114,5,2,15,39,0,0,0,0,0,0,0,0,0,0,0,0,0,,,149,2,0,2025-12-06T15:00:00Z,1135,1175,1100,1110,1170,1240
Fredrick,DEF,BRE,115,5,2,15,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,149,2,0,2025-12-06T15:00:00Z,1135,1175,1100,1110,1170,1240
Hickey,DEF,BRE,116,5,2,15,40,14,0,0,0,0,0,3,0,0,0,0,0,1,,,149,2,0,2025-12-06T15:00:00Z,1135,1175,1100,1110,1170,1240
Ji-soo,DEF,BRE,117,5,2,15,39,0,0,0,0,0,0,0,0,0,0,0,0,0,,,149,2,0,2025-12-06T15:00:00Z,1135,1175,1100,1110,1170,1240
Meghoma,DEF,BRE,118,5,2,15,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,149,2,0,2025-12-06T15:00:00Z,1135,1175,1100,1110,1170,1240
Mbeumo,MID,MUN,119,14,3,15,81,90,1,0,0,1,0,32,2,1,0,0,0,8,,,150,1,4,2025-12-08T20:00:00Z,1135,1205,1100,1150,1170,1260
Schade,MID,BRE,120,5,3,15,70,90,0,0,0,2,0,6,0,1,0,0,0,1,,,149,2,0,2025-12-06T15:00:00Z,1135,1175,1100,1110,1170,1240
Damsgaard,MID,BRE,121,5,3,15,58,60,0,0,0,2,0,2,0,0,0,0,0,2,,,149,2,0,2025-12-06T15:00:00Z,1135,1175,1100,1110,1170,1240
Milambo,MID,BRE,122,5,3,15,52,0,0,0,0,0,0,0,0,0,0,0,0,0,,,149,2,0,2025-12-06T15:00:00Z,1135,1175,1100,1110,1170,1240
Carvalho,MID,BRE,123,5,3,15,47,0,0,0,0,0,0,0,0,0,0,0,0,0,,,149,2,0,2025-12-06T15:00:00Z,1135,1175,1100,1110,1170,1240
Henderson,MID,BRE,124,5,3,15,50,90,0,0,0,2,0,14,0,0,0,0,0,4,,,149,2,0,2025-12-06T15:00:00Z,1135,1175,1100,1110,1170,1240
Janelt,MID,BRE,125,5,3,15,49,14,0,0,0,0,0,5,0,0,0,0,0,1,,,149,2,0,2025-12-06T15:00:00Z,1135,1175,1100,1110,1170,1240
Jensen,MID,BRE,126,5,3,15,49,29,0,0,0,0,0,4,0,0,0,0,0,1,,,149,2,0,2025-12-06T15:00:00Z,1135,1175,1100,1110,1170,1240
Nunes,MID,BRE,127,5,3,15,49,0,0,0,0,0,0,0,0,0,0,0,0,0,,,149,2,0,2025-12-06T15:00:00Z,1135,1175,1100,1110,1170,1240
Onyeka,MID,BRE,128,5,3,15,48,0,0,0,0,0,0,0,0,0,0,0,0,0,,,149,2,0,2025-12-06T15:00:00Z,1135,1175,1100,1110,1170,1240
Yarmoliuk,MID,BRE,129,5,3,15,50,75,0,0,0,2,0,3,0,1,0,0,0,1,,,149,2,0,2025-12-06T15:00:00Z,1135,1175,1100,1110,1170,1240
Donovan,MID,BRE,130,5,3,15,44,0,0,0,0,0,0,0,0,0,0,0,0,0,,,149,2,0,2025-12-06T15:00:00Z,1135,1175,1100,1110,1170,1240
Konak,MID,BRE,131,5,3,15,43,0,0,0,0,0,0,0,0,0,0,0,0,0,,,149,2,0,2025-12-06T15:00:00Z,1135,1175,1100,1110,1170,1240
Maghoma,MID,BRE,132,5,3,15,45,0,0,0,0,0,0,0,0,0,0,0,0,0,,,149,2,0,2025-12-06T15:00:00Z,1135,1175,1100,1110,1170,1240
Peart-Harris,MID,BRE,133,5,3,15,44,0,0,0,0,0,0,0,0,0,0,0,0,0,,,149,2,0,2025-12-06T15:00:00Z,1135,1175,1100,1110,1170,1240
Trevitt,MID,BRE,134,5,3,15,45,0,0,0,0,0,0,0,0,0,0,0,0,0,,,149,2,0,2025-12-06T15:00:00Z,1135,1175,1100,1110,1170,1240
Wissa,FWD,NEW,135,15,4,15,73,16,0,0,0,1,0,2,0,0,0,0,0,1,,,148,2,1,2025-12-06T15:00:00Z,1160,1220,1170,1180,1150,1260
Thiago,FWD,BRE,136,5,4,15,70,90,0,0,0,2,0,4,0,0,0,0,0,2,,,149,2,0,2025-12-06T15:00:00Z,1135,1175,1100,1110,1170,1240
Morgan,FWD,BRE,137,5,4,15,44,0,0,0,0,0,0,0,0,0,0,0,0,0,,,149,2,0,2025-12-06T15:00:00Z,1135,1175,1100,1110,1170,1240
Steele,GKP,BHA,138,6,1,15,42,0,0,0,0,0,0,0,0,0,0,0,0,0,,,143,1,1,2025-12-07T14:00:00Z,1150,1160,1090,1110,1210,1210
Verbruggen,GKP,BHA,139,6,1,15,44,90,0,0,0,1,4,22,0,0,0,0,0,3,,,143,1,1,2025-12-07T14:00:00Z,1150,1160,1090,1110,1210,1210
McGill,GKP,BHA,140,6,1,15,39,0,0,0,0,0,0,0,0,0,0,0,0,0,,,143,1,1,2025-12-07T14:00:00Z,1150,1160,1090,1110,1210,1210
Rushworth,GKP,BHA,141,6,1,15,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,143,1,1,2025-12-07T14:00:00Z,1150,1160,1090,1110,1210,1210
Scherpen,GKP,BHA,142,6,1,15,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,143,1,1,2025-12-07T14:00:00Z,1150,1160,1090,1110,1210,1210
Boscagli,DEF,BHA,143,6,2,15,42,7,0,0,0,0,0,4,0,0,0,0,0,1,,,143,1,1,2025-12-07T14:00:00Z,1150,1160,1090,1110,1210,1210
Coppola,DEF,BHA,144,6,2,15,42,0,0,0,0,0,0,0,0,0,0,0,0,0,,,143,1,1,2025-12-07T14:00:00Z,1150,1160,1090,1110,1210,1210
De Cuyper,DEF,BHA,145,6,2,15,43,71,0,0,1,0,0,35,2,0,0,0,0,8,,,143,1,1,2025-12-07T14:00:00Z,1150,1160,1090,1110,1210,1210
Dunk,DEF,BHA,146,6,2,15,45,90,0,0,0,1,0,14,0,1,0,0,0,1,,,143,1,1,2025-12-07T14:00:00Z,1150,1160,1090,1110,1210,1210
Estupiñan,DEF,BHA,147,6,2,15,45,0,0,0,0,0,0,0,0,0,0,0,0,0,,,143,1,1,2025-12-07T14:00:00Z,1150,1160,1090,1110,1210,1210
F.Kadıoğlu,DEF,BHA,148,6,2,15,44,82,0,0,0,1,0,6,0,1,0,0,0,1,,,143,1,1,2025-12-07T14:00:00Z,1150,1160,1090,1110,1210,1210
Igor,DEF,WHU,149,19,2,15,45,0,0,0,0,0,0,0,0,0,0,0,0,0,,,143,1,1,2025-12-07T14:00:00Z,1075,1075,1050,1050,1100,1100
Lamptey,DEF,BHA,150,6,2,15,44,0,0,0,0,0,0,0,0,0,0,0,0,0,,,143,1,1,2025-12-07T14:00:00Z,1150,1160,1090,1110,1210,1210
Van Hecke,DEF,BHA,151,6,2,15,46,90,0,1,0,1,0,23,0,0,0,0,0,5,,,143,1,1,2025-12-07T14:00:00Z,1150,1160,1090,1110,1210,1210
Veltman,DEF,BHA,152,6,2,15,43,0,0,0,0,0,0,0,0,0,0,0,0,0,,,143,1,1,2025-12-07T14:00:00Z,1150,1160,1090,1110,1210,1210
Webster,DEF,BHA,153,6,2,15,44,0,0,0,0,0,0,0,0,0,0,0,0,0,,,143,1,1,2025-12-07T14:00:00Z,1150,1160,1090,1110,1210,1210
